code,location,file,cdg_node,neighbor_node,context_list,ddg_list,static_list,cluster_index
"bftpd_log ( ""Processing command: %s\n"" , str )",434:2:12034:12076,/data/download/bftpd/bftpd/main.c,"[[""True"", [18421, ""True"", ""fgets ( str , MAXCMD , stdin )"", ""Condition""]], [""True"", [18836, ""True"", ""getpeername ( fileno ( stderr ) , ( struct sockaddr * ) & remotename , & my_length )"", ""Condition""]]]",[],"[[[""fgets"", ""char [ MAX_STRING_LENGTH + 1 ]"", ""MAXCMD"", ""stdin""]], [[""getpeername"", ""fileno"", ""stderr"", ""&"", ""remotename"", ""&"", ""my_length""]]]","[[[""char [ MAX_STRING_LENGTH + 1 ]"", ""MAX_STRING_LENGTH"", ""1"", ""+""], ""char [ MAX_STRING_LENGTH + 1 ]""]]","[""\""Processing command: %s\\n\""""]",98
"bftpd_log ( ""Incoming connection from %s.\n"" , remotehostname )",407:1:10867:10926,/data/download/bftpd/bftpd/main.c,"[[""True"", [18836, ""True"", ""getpeername ( fileno ( stderr ) , ( struct sockaddr * ) & remotename , & my_length )"", ""Condition""]], [""True"", [19571, ""True"", ""fork ( )"", ""Condition""]], [""True"", [19594, ""True"", ""daemonmode == 1"", ""Condition""]], [""True"", [19604, ""True"", ""daemonmode"", ""Condition""]]]",[],"[[[""getpeername"", ""fileno"", ""stderr"", ""&"", ""remotename"", ""&"", ""my_length""]], [[""fork""]], [[""daemonmode"", ""1"", ""==""]], [[""daemonmode""]]]","[[[""remotehostname"", ""strdup"", ""char *"", ""=""], ""remotehostname""], [[""remotehostname"", ""\""\"""", ""=""], ""remotehostname""], [[""remotehostname"", ""\""\"""", ""=""], ""remotehostname""], [[""remotehostname"", ""\""\"""", ""=""], ""remotehostname""], [[""remotehostname"", ""strdup"", ""char *"", ""=""], ""remotehostname""], [[""remotehostname"", ""strdup"", ""struct hostent *"", ""h_name"", ""=""], ""remotehostname""]]","[""\""Incoming connection from %s.\\n\""""]",136
"bftpd_log ( ""Exiting, becasue we have no way to authorize clients.\n"" )",324:11:8084:8152,/data/download/bftpd/bftpd/main.c,"[[""True"", [19048, ""True"", ""! file_auth_option [ 0 ]"", ""Condition""]], [""False"", [19571, ""True"", ""fork ( )"", ""Condition""]], [""False"", [19594, ""True"", ""daemonmode == 1"", ""Condition""]], [""False"", [19604, ""True"", ""daemonmode"", ""Condition""]]]",[],"[[[""!"", ""char *"", ""0""]], [[""fork""]], [[""daemonmode"", ""1"", ""==""]], [[""daemonmode""]]]",[],"[""\""Exiting, becasue we have no way to authorize clients.\\n\""""]",12
"control_printf ( SL_SUCCESS , ""150 %s data connection established."" , xfertype == TYPE_BINARY ? ""BINARY"" : ""ASCII"" )",176:1:4026:4153,/data/download/bftpd/bftpd/commands.c,"[[""False"", [1528, ""True"", ""sock == - 1"", ""Condition""]], [""False"", [1329, ""True"", ""connect ( sock , ( struct sockaddr * ) & sa , sizeof ( sa ) ) == - 1"", ""Condition""]], [""True"", [1555, ""True"", ""pasv"", ""Condition""]], [""True"", [1400, ""True"", ""bind ( sock , ( struct sockaddr * ) & local , sizeof ( local ) ) < 0"", ""Condition""]]]",[],"[[[""sock"", ""-"", ""1"", ""==""]], [[""connect"", ""sock"", ""&"", ""sa"", ""-"", ""1"", ""==""]], [[""pasv""]], [[""bind"", ""sock"", ""&"", ""local"", ""0"", ""<""]]]",[],"[""\""150 %s data connection established.\"""", ""\""BINARY\"""", ""\""ASCII\""""]",13
"control_printf ( SL_FAILURE , ""425-Unable to bind data socket.\r\n425 %s."" , strerror ( errno ) )",163:3:3580:3674,/data/download/bftpd/bftpd/commands.c,"[[""True"", [1400, ""True"", ""bind ( sock , ( struct sockaddr * ) & local , sizeof ( local ) ) < 0"", ""Condition""]], [""False"", [1555, ""True"", ""pasv"", ""Condition""]]]",[],"[[[""bind"", ""sock"", ""&"", ""local"", ""0"", ""<""]], [[""pasv""]]]",[],"[""\""425-Unable to bind data socket.\\r\\n425 %s.\""""]",14
"control_printf ( SL_FAILURE , ""425-Unable to accept data connection.\r\n425 %s."" , strerror ( errno ) )",147:12:3024:3140,/data/download/bftpd/bftpd/commands.c,"[[""True"", [1528, ""True"", ""sock == - 1"", ""Condition""]], [""True"", [1555, ""True"", ""pasv"", ""Condition""]]]",[],"[[[""sock"", ""-"", ""1"", ""==""]], [[""pasv""]]]",[],"[""\""425-Unable to accept data connection.\\r\\n425 %s.\""""]",15
"control_printf ( SL_SUCCESS , ""331 Password please."" )",225:2:5433:5483,/data/download/bftpd/bftpd/commands.c,"[[""False"", [1819, ""True"", ""! strcasecmp ( config_getoption ( \""ANONYMOUS_USER\"" ) , \""yes\"" )"", ""Condition""]], [""True"", [1926, ""True"", ""state"", ""Condition""]]]",[],"[[[""!"", ""strcasecmp"", ""config_getoption"", ""\""ANONYMOUS_USER\"""", ""\""yes\""""]], [[""state""]]]",[],"[""\""331 Password please.\""""]",99
"control_printf ( SL_SUCCESS , ""331 Password please."" )",220:16:5314:5364,/data/download/bftpd/bftpd/commands.c,"[[""True"", [1819, ""True"", ""! strcasecmp ( config_getoption ( \""ANONYMOUS_USER\"" ) , \""yes\"" )"", ""Condition""]], [""True"", [1926, ""True"", ""state"", ""Condition""]]]",[],"[[[""!"", ""strcasecmp"", ""config_getoption"", ""\""ANONYMOUS_USER\"""", ""\""yes\""""]], [[""state""]]]",[],"[""\""331 Password please.\""""]",99
"control_printf ( SL_FAILURE , ""503 Username already given."" )",202:2:4722:4779,/data/download/bftpd/bftpd/commands.c,"[[""True"", [1926, ""True"", ""state"", ""Condition""]]]",[],"[[[""state""]]]",[],"[""\""503 Username already given.\""""]",80
"control_printf ( SL_FAILURE , ""530 Login incorrect."" )",237:2:5706:5756,/data/download/bftpd/bftpd/commands.c,"[[""True"", [1978, ""True"", ""bftpd_login ( password )"", ""Condition""]], [""False"", [1997, ""True"", ""state > STATE_USER"", ""Condition""]]]",[],"[[[""bftpd_login"", ""char *""]], [[""state"", ""STATE_USER"", "">""]]]",[],"[""\""530 Login incorrect.\""""]",81
