commit_sha,commit_message,file_name,change_type,log_statement,log_loc,store_name
51a105220e2c8c282fdd720aed3a3332dd2180fb,SERVER-26282 Make sync source change logging clearer,src/mongo/db/repl/oplog_fetcher.cpp,+,"LOG(1) << ""Error returned from oplog query: "" << redact(result.getStatus());",328,download/mongodb_mongo630.cpp
51a105220e2c8c282fdd720aed3a3332dd2180fb,SERVER-26282 Make sync source change logging clearer,src/mongo/db/repl/oplog_fetcher.cpp,+,"LOG(1) << ""oplog fetcher successfully fetched from "" << _source;",379,download/mongodb_mongo630.cpp
51a105220e2c8c282fdd720aed3a3332dd2180fb,SERVER-26282 Make sync source change logging clearer,src/mongo/db/repl/topology_coordinator_impl.cpp,+,"log() << ""choosing sync source candidate by request: "" << _syncSource;",164,download/mongodb_mongo631.cpp
51a105220e2c8c282fdd720aed3a3332dd2180fb,SERVER-26282 Make sync source change logging clearer,src/mongo/db/repl/topology_coordinator_impl.cpp,-,log() << msg << rsLog;,167,download/mongodb_mongo631.cpp
51a105220e2c8c282fdd720aed3a3332dd2180fb,SERVER-26282 Make sync source change logging clearer,src/mongo/db/repl/topology_coordinator_impl.cpp,+,"log() << ""chaining not allowed, choosing primary as sync source candidate: """,195,download/mongodb_mongo631.cpp
51a105220e2c8c282fdd720aed3a3332dd2180fb,SERVER-26282 Make sync source change logging clearer,src/mongo/db/repl/topology_coordinator_impl.cpp,-,log() << msg << rsLog;,198,download/mongodb_mongo631.cpp
51a105220e2c8c282fdd720aed3a3332dd2180fb,SERVER-26282 Make sync source change logging clearer,src/mongo/db/repl/topology_coordinator_impl.cpp,+,"log() << ""sync source candidate: "" << _syncSource;",336,download/mongodb_mongo631.cpp
51a105220e2c8c282fdd720aed3a3332dd2180fb,SERVER-26282 Make sync source change logging clearer,src/mongo/db/repl/topology_coordinator_impl.cpp,-,log() << msg << rsLog;,338,download/mongodb_mongo631.cpp
637553798fe8e12a63fa083b1f281880e3ae40be,SERVER-26135 Rearrange code in finishRecovery to avoid invalid iterator warning,src/mongo/s/balancer/migration_manager.cpp,-,Grid::get(txn)->catalogClient(txn)->getDistLockManager()->unlock(,435,download/mongodb_mongo632.cpp
637553798fe8e12a63fa083b1f281880e3ae40be,SERVER-26135 Rearrange code in finishRecovery to avoid invalid iterator warning,src/mongo/s/balancer/migration_manager.cpp,+,Grid::get(txn)->catalogClient(txn)->getDistLockManager()->unlock(,478,download/mongodb_mongo632.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,-,"const auto sharedView = db->getViewCatalog()->lookup(txn, nss.ns());",63,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,-,BackgroundOperation::assertNoBgOpInProgForNs(nss);,71,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,-,bool userInitiatedWritesAndNotPrimary = txn->writesAreReplicated() &&,94,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,-,!repl::getGlobalReplicationCoordinator()->canAcceptWritesFor(nss);,94,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,-,"idx = coll->getIndexCatalog()->findIndexByName(txn, indexName);",183,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,+,"cmr.idx = coll->getIndexCatalog()->findIndexByName(txn, indexName);",189,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,-,coll->getCatalogEntry()->updateTTLSetting(,254,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,-,"idx = coll->getIndexCatalog()->refreshEntry(txn, idx);",256,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,+,"const auto sharedView = db->getViewCatalog()->lookup(txn, nss.ns());",386,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,+,BackgroundOperation::assertNoBgOpInProgForNs(nss);,395,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,+,bool userInitiatedWritesAndNotPrimary = txn->writesAreReplicated() &&,404,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,+,!repl::getGlobalReplicationCoordinator()->canAcceptWritesFor(nss);,405,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,+,ViewCatalog* catalog = db->getViewCatalog();,429,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,+,coll->getCatalogEntry()->updateTTLSetting(,447,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,+,"cmr.idx = coll->getIndexCatalog()->refreshEntry(txn, cmr.idx);",450,download/mongodb_mongo633.cpp
948f978a782167ddb6efec9f9adf5ad317eb4d0d,SERVER-25004 isolate parsing logic in collmod,src/mongo/db/catalog/coll_mod.cpp,-,ViewCatalog* catalog = db->getViewCatalog();,345,download/mongodb_mongo633.cpp
97ba2edd5adcb0a70d1f2330786bbda8252272fe,SERVER-26242 add more logging to ReplSetDistLockManager::tryLockWithLocalWriteConcern,src/mongo/s/catalog/replset_dist_lock_manager.cpp,+,"LOG(1) << ""trying to acquire new distributed lock for "" << name",431,download/mongodb_mongo634.cpp
97ba2edd5adcb0a70d1f2330786bbda8252272fe,SERVER-26242 add more logging to ReplSetDistLockManager::tryLockWithLocalWriteConcern,src/mongo/s/catalog/replset_dist_lock_manager.cpp,+,"log() << ""distributed lock '"" << name << ""' acquired for '"" << whyMessage.toString()",451,download/mongodb_mongo634.cpp
276f006796f8f3abfde86a549cdf9f8cc6ffa974,SERVER-25743 Add dochub links to all featureCompatibilityVersion error messages,src/mongo/db/s/config/configsvr_set_feature_compatibility_version_command.cpp,-,uassert(,124,download/mongodb_mongo635.cpp
276f006796f8f3abfde86a549cdf9f8cc6ffa974,SERVER-25743 Add dochub links to all featureCompatibilityVersion error messages,src/mongo/db/s/config/configsvr_set_feature_compatibility_version_command.cpp,+,"uassert(ErrorCodes::BadValue,",134,download/mongodb_mongo635.cpp
