class,check,variable
173,"[""dav_validate_root_ret"", ""dav_validate_root_arg_ret"", ""dav_handle_err_arg""]","[null, null, ""ap_xml_parse_input_arg_ret""]"
1633,"[""dav_find_child_ret"", ""dav_find_child_ret"", ""dav_handle_err_arg""]","[null, null, ""ap_xml_parse_input_arg_ret""]"
174,"[""dav_lookup_uri_ret"", ""dav_handle_err_arg"", null, null]","[null, null, ""dav_lookup_uri_arg_ret"", ""dav_lookup_uri_ret"", ""dav_handle_err_arg"", null]"
175,"[""apr_table_get_ret"", ""dav_handle_err_arg""]","[null, null, ""dav_handle_err_arg_ret""]"
176,"[""dav_error_response_arg"", null, null, null]","[null, null, ""dav_error_response_arg""]"
177,[null],"[null, null, null, ""process_item_arg_ret""]"
178,"[""apr_thread_mutex_create_ret"", null]","[null, null, ""apr_thread_mutex_create_ret"", ""apr_pool_cleanup_register_arg_ret""]"
179,"[""ap_server_root_relative_ret""]","[null, null, null, ""server_rec"", ""ap_server_root_relative_arg_ret""]"
180,"[""apr_file_open_ret"", null]","[null, null, ""apr_file_open_ret"", ""server_rec"", ""ap_server_root_relative_ret""]"
181,"[""ap_open_piped_log_ret"", null]","[null, null, ""server_rec"", ""ap_get_module_config_ret"", null]"
182,"[""apr_file_open_ret"", ""apr_file_open_ret"", null]","[null, null, ""apr_file_open_ret"", ""server_rec"", ""ap_server_root_relative_ret""]"
183,"[""getenv_ret"", null]","[null, null, ""cmd_parms"", null, ""apr_table_setn_arg_ret""]"
184,"[""ap_get_module_config_ret""]","[null, null, null, ""magic_set_config_arg"", null]"
1635,"[""rsl_states"", null]","[null, null, ""rsl_strdup_arg"", null, ""rsl_states""]"
185,"[""rsl_strdup_arg_ret"", null, ""rsl_states"", null, ""rsl_strdup_arg_ret"", null]","[null, null, ""rsl_strdup_arg_ret"", null, ""rsl_states""]"
186,"[""apr_file_open_ret"", null]","[null, null, ""magic_rsl_putchar_arg_ret"", null, ""magic_rsl_putchar_arg_ret"", null]"
187,"[""apr_file_read_ret"", ""apr_file_read_ret"", null]","[null, null, ""apr_file_read_ret"", ""magic_rsl_putchar_arg_ret"", null, ""magic_rsl_putchar_arg_ret"", null]"
188,"[""ap_server_root_relative_ret""]","[null, null, null, ""parse_arg"", null, ""ap_get_module_config_ret"", null]"
189,"[""apr_file_open_ret"", ""apr_file_open_ret"", null]","[null, null, ""apr_file_open_ret"", ""parse_arg"", null, ""ap_server_root_relative_ret""]"
190,"[""apr_file_open_ret"", ""apr_file_open_ret"", null]","[null, null, ""parse_arg_ret"", null, ""ap_get_module_config_ret"", ""ap_get_module_config_ret"", null, ""ap_get_module_config_ret"", null, ""ap_get_module_config_ret"", null, ""ap_get_module_config_ret"", null, ""ap_get_module_config_ret"", null, null, ""ap_get_module_config_ret"", ""strlen_ret""]"
191,"[""apr_file_open_ret"", ""apr_file_open_ret"", null]","[null, null, ""parse_arg_ret"", null, ""int"", ""int"", ""int""]"
192,"[""apr_file_open_ret"", ""apr_file_open_ret"", null]","[null, null, ""parse_arg_ret"", null]"
193,"[""apr_isprint_ret"", ""apr_isprint_ret"", ""apr_isprint_ret"", ""apr_isprint_ret""]","[null, null, ""parse_arg_ret"", null, null, null, ""apr_isprint_arg_ret"", null, null, ""apr_isprint_arg_ret"", null, null, ""apr_isprint_arg_ret"", null, null, ""apr_isprint_arg_ret"", """", """", ""int""]"
194,"["" struct magic"", null]","[null, null, ""server_rec"", null, "" struct magic"", null]"
195,"[""strtol_arg_ret"", ""strtol_arg_ret""]","[null, null, ""signextend_arg"", null, ""strtol_arg_ret""]"
196,"[""strtol_arg_ret""]","[null, null, ""signextend_arg"", null, ""strtol_arg_ret""]"
197,"[""strtol_arg_ret""]","[null, null, ""signextend_arg"", null]"
198,"[""strncmp_ret""]","[null, null, ""signextend_arg"", null, ""strncmp_arg_ret""]"
