class,check,variable
33,"[""int""]","[""sizeof_arg"", ""TYPE_arg_ret"", null]"
677,"[""ascii_strcasecmp_ret""]",[]
516,"[""TYPE_arg_ret"", null, null, ""ascii_strcasecmp_ret""]",[]
517,"[""mx_alloc_memory_arg"", null]",[]
34,"[""mbox_lock_mailbox_ret""]",[]
35,[null],"[null, ""MESSAGE"", null]"
36,"[""mbox_check_mailbox_arg_ret"", null]",[]
37,[null],"[""mutt_strcmp_arg"", ""open_ret""]"
38,[null],"[""mutt_strcmp_arg"", ""ftello_arg_ret""]"
39,[null],"[""ftello_arg_ret""]"
40,"[""safe_fclose_ret"", ""mutt_copy_stream_ret""]",[]
41,"[""int""]","[null, ""char""]"
734,"[""MoreArgs_ret""]",[]
518,"[""mutt_extract_token_arg_ret"", ""unsigned""]",[]
42,"[""mutt_extract_token_arg_ret"", ""unsigned"", null]",[]
43,"[""safe_strdup_arg"", ""mutt_extract_token_arg_ret"", ""unsigned""]",[]
731,[null],[]
44,"[""mutt_get_hook_type_ret""]",[]
45,"[null, ""mutt_get_hook_type_ret""]",[]
519,"[""ACCOUNT"", null, null]",[]
520,"[""mutt_get_password_ret""]",[]
46,"[null, null]","[""strncmp_arg_ret"", ""fputc_arg""]"
47,"[""mutt_strncmp_ret""]","[""sizeof_arg"", ""safe_fopen_ret""]"
48,"[""mutt_strncmp_ret""]","[""mutt_strcmp_arg"", ""safe_fopen_ret""]"
49,"[""pgp_invoke_decode_ret"", ""fileno_ret"", ""pgp_invoke_decode_ret""]","[""state_puts_arg_ret""]"
50,"[""pgp_invoke_decode_ret"", ""fileno_ret"", ""pgp_invoke_decode_ret""]",[]
51,"[""int""]","[""pgp_invoke_decode_arg_ret"", null]"
52,"[""crypt_current_time_arg_ret"", null, null]","[""crypt_current_time_arg_ret""]"
53,"[""crypt_current_time_arg_ret"", null, null]",[]
521,"[""int""]","[""crypt_current_time_arg_ret""]"
54,"[""""]","[""crypt_current_time_arg_ret""]"
726,"[""""]",[]
678,"[""int""]","[""state_putc_arg_ret""]"
522,"[""""]","[""state_putc_arg_ret""]"
523,"[""int""]","[""state_puts_arg_ret""]"
524,"[""STATE"", null, null]","[""STATE""]"
525,"[""STATE"", null, null]",[]
55,"[""pgp_use_gpg_agent_ret""]","[null, ""pgp_invoke_decrypt_arg_ret""]"
56,"[""pgp_use_gpg_agent_ret""]","[null, ""fflush_arg""]"
528,"[""crypt_current_time_arg"", null, null]","[""crypt_current_time_arg""]"
529,"[""crypt_current_time_arg"", null, null]",[]
57,"[""pgp_decrypt_part_arg_ret"", null, null]","[""pgp_decrypt_part_arg_ret""]"
58,"[""pgp_decrypt_part_arg_ret"", null, null]",[]
59,"[""mutt_body_handler_arg_ret"", null, null]","[""state_puts_arg_ret""]"
689,"[""mutt_body_handler_arg_ret"", null, null]",[]
60,"[""pgp_use_gpg_agent_ret""]","[null, ""pgp_invoke_sign_arg_ret""]"
526,"[""mutt_strcmp_ret""]","[""safe_fclose_arg_ret""]"
61,"[""mutt_strcmp_ret""]","[""sizeof_arg"", ""safe_fclose_arg_ret""]"
62,"[""mutt_strcmp_ret""]","[null, null]"
63,"[""option_ret"", ""pgp_getkeybyaddr_arg""]",[]
64,"[""option_ret"", ""pgp_getkeybyaddr_arg""]","[""sizeof_arg"", null]"
65,"[""pgp_getkeybyaddr_ret"", null, ""int""]",[]
66,"[""pgp_use_gpg_agent_ret""]","[null, ""pgp_invoke_encrypt_arg_ret""]"
67,"[""pgp_use_gpg_agent_ret""]","[null, null]"
733,"[""crypt_opportunistic_encrypt_arg"", null, null, null]",[]
