class,class_size,check,variable
1066,1,"[""apr_table_get_ret"", ""PROXY_THREAD_LOCK_arg_ret"", null, ""ap_proxy_worker_name_arg_ret"", null, null, null, null]","[""APLOGNO_ret"", ""ap_proxy_worker_name_ret"", null, null, ""request_rec"", ""PROXY_THREAD_LOCK_arg_ret"", null, null]"
1067,1,"[""PROXY_THREAD_UNLOCK_ret"", ""PROXY_THREAD_UNLOCK_ret"", null]","[""APLOGNO_ret"", null, null, ""PROXY_THREAD_UNLOCK_ret"", ""request_rec"", ""PROXY_THREAD_UNLOCK_arg_ret"", null, null]"
1068,1,"[""PROXY_THREAD_UNLOCK_ret"", ""PROXY_THREAD_UNLOCK_ret"", null]","[""APLOGNO_ret"", null, null, ""request_rec"", ""PROXY_THREAD_UNLOCK_arg_ret"", null, null]"
1069,1,"[""APR_RETRIEVE_OPTIONAL_FN_ret""]","[""APLOGNO_ret"", null, null, ""ap_global_mutex_create_arg""]"
1070,1,"[""ap_lookup_provider_ret""]","[""APLOGNO_ret"", null, null, ""ap_global_mutex_create_arg"", null]"
1071,1,"[""ap_get_module_config_ret"", null, null]","[""APLOGNO_ret"", null, null, ""ap_global_mutex_create_arg"", null, "" storage create_arg"", null, ""ap_get_module_config_ret"", null, null, ""ap_get_module_config_ret"", null]"
1072,1,"["" storage create_ret"", null]","[""APLOGNO_ret"", null, null, "" storage create_ret"", ""ap_global_mutex_create_arg""]"
1073,1,"[""ap_global_mutex_create_ret"", null, ""ap_proxy_find_balancershm_arg"", null]","[""APLOGNO_ret"", null, null, ""ap_global_mutex_create_ret"", ""ap_global_mutex_create_arg_ret"", null, ""ap_proxy_find_balancershm_arg"", ""ap_global_mutex_create_arg_ret"", ""PROXY_STRNCPY_arg_ret""]"
2493,2,"["" storage fgrab_ret"", "" storage fgrab_ret"", null]","[""APLOGNO_ret"", null, null, "" storage fgrab_ret"", ""apr_pool_cleanup_register_arg_ret""]"
2494,2,"["" storage grab_ret"", "" storage grab_ret"", null]","[""APLOGNO_ret"", null, null, "" storage grab_ret"", ""apr_pool_cleanup_register_arg_ret""]"
2495,2,"["" storage dptr_ret"", "" storage dptr_ret"", null]","[""APLOGNO_ret"", null, null, "" storage dptr_ret"", ""apr_pool_cleanup_register_arg_ret""]"
1074,1,"[""ap_proxy_share_balancer_ret"", ""ap_proxy_share_balancer_ret"", null]","[""APLOGNO_ret"", null, null, ""ap_proxy_share_balancer_ret"", ""apr_pool_cleanup_register_arg_ret""]"
1075,1,"[""ap_proxy_share_balancer_ret"", ""ap_proxy_share_balancer_ret"", null]","[""APLOGNO_ret"", null, null, ""apr_pool_cleanup_register_arg_ret"", ""ap_proxy_share_balancer_arg_ret"", ""apr_pool_cleanup_register_arg_ret"", null, ""ap_proxy_share_balancer_arg_ret"", ""apr_pool_cleanup_register_arg_ret"", ""PROXY_STRNCPY_arg_ret"", null, "" storage create_arg"", null, ""ap_proxy_share_balancer_arg_ret"", null, ""int""]"
1076,1,"["" storage create_ret"", null]","[""APLOGNO_ret"", null, null, "" storage create_ret"", ""apr_pool_cleanup_register_arg_ret""]"
1077,1,"[""ap_proxy_share_worker_ret"", ""ap_proxy_share_worker_ret"", null]","[""APLOGNO_ret"", null, null, ""ap_proxy_share_worker_ret"", ""apr_pool_cleanup_register_arg_ret""]"
2496,3,"[""unsigned int""]","[""request_rec""]"
1078,1,"[""unsigned int""]","[""request_rec"", ""char"", ""char"", ""char"", null]"
1079,1,"[""PROXY_THREAD_LOCK_ret"", ""PROXY_THREAD_LOCK_ret"", null]","[""APLOGNO_ret"", null, null, ""PROXY_THREAD_LOCK_ret"", ""hc_valid_expr_f_arg"", ""PROXY_THREAD_LOCK_arg_ret"", null, ""apr_pstrcat_arg""]"
1080,1,"[""PROXY_THREAD_UNLOCK_ret"", ""PROXY_THREAD_UNLOCK_ret"", null]","[""APLOGNO_ret"", null, null, ""PROXY_THREAD_UNLOCK_ret"", ""hc_valid_expr_f_arg"", ""PROXY_THREAD_UNLOCK_arg_ret"", null, ""apr_pstrcat_arg""]"
