class,class_size,check,variable
1156,1,"[""socket_ret"", null]",[]
2897,2,"[""set_reuse_addr_ret""]","[""strerror_ret""]"
2898,2,"[""bind_ret""]","[""ip2str_ret"", ""strerror_ret""]"
2899,2,"[""listen_ret""]","[""ip2str_ret"", ""strerror_ret""]"
1157,1,"[""setup_named_sock_ret""]","["" struct string_list"", null, ""int"", null, ""int""]"
1158,1,"[""initgroups_ret"", ""setgid_ret"", ""setuid_ret"", "" struct credentials""]",[]
1159,1,"["" struct credentials"", null]","[""getpwnam_arg_ret""]"
1160,1,"[""getgrnam_ret""]","[""getgrnam_arg_ret""]"
1161,1,"[""socksetup_arg_ret"", null]","[""int""]"
1162,1,"[""int"", ""int"", ""prepare_credentials_arg"", ""prepare_credentials_arg""]",[]
1163,1,"[""int"", ""serve_arg"", ""string_list_append_arg_ret"", null]",[]
1164,1,"[""prepare_credentials_arg"", ""prepare_credentials_arg""]",[]
3208,7,"[null, null, null]",[]
1165,1,"[""is_directory_ret"", null]",[null]
1166,1,"[""daemonize_ret""]",[]
2900,2,"[""submodule_from_path_ret"", ""submodule_from_path_ret"", null]","[""submodule_from_path_arg_ret""]"
1167,1,"[""git_config_set_in_file_gently_ret""]","[""strbuf_addstr_arg_ret"", null]"
1168,1,"[""git_config_rename_section_in_file_ret""]","[""submodule_from_path_arg_ret""]"
1169,1,"[""add_file_to_cache_ret""]",[]
1170,1,"[""git_config_int_ret""]",[]
2901,2,"[""unsigned"", null]","[""fwrite_arg"", ""strbuf_addf_arg"", ""add_submodule_odb_arg""]"
1171,1,"[""prepare_submodule_summary_ret""]","[""show_submodule_header_arg_ret"", ""show_submodule_header_arg_ret""]"
1172,1,"[""run_command_ret""]","[""fileno_arg_ret""]"
1173,1,"[""start_command_ret""]","[""for_each_remote_ref_submodule_arg_ret""]"
1174,1,"[""run_command_ret""]","[""char""]"
1175,1,"[""resolve_refdup_ret""]","[null, ""push_submodule_arg""]"
1176,1,"[""push_submodule_ret""]","[null, ""push_submodule_arg_ret""]"
1177,1,"[""is_directory_ret""]","[""is_directory_arg_ret""]"
1178,1,"[""start_command_ret""]","[""strbuf_addf_arg_ret""]"
1179,1,"[""strlen_ret"", ""strbuf_getwholeline_arg_ret"", null]","[""strbuf_getwholeline_arg_ret"", ""strbuf_getwholeline_arg_ret""]"
1180,1,"[""finish_command_ret"", ""int""]","[""strbuf_addf_arg_ret""]"
2902,2,"[""unsigned"", null]","[""submodule_uses_gitfile_arg_ret""]"
1181,1,"[""start_command_ret""]","["" struct submodule"", null]"
1182,1,"[""submodule_from_path_ret""]","[""submodule_uses_gitfile_arg""]"
1183,1,"[""submodule_has_dirty_index_ret""]","[""submodule_uses_gitfile_arg""]"
1184,1,"[""find_first_merges_ret""]",[null]
1185,1,"[""find_first_merges_ret""]","[""oid_to_hex_ret"", null, ""MERGE_WARNING_arg_ret""]"
1186,1,"[""submodule_uses_worktrees_ret""]","[""submodule_uses_worktrees_arg_ret""]"
2903,2,"[""submodule_from_path_ret""]","[""submodule_from_path_arg_ret""]"
1187,1,"[""safe_create_leading_directories_const_ret""]","[""get_super_prefix_or_empty_ret"", null, ""submodule_from_path_arg_ret"", ""real_pathdup_ret"", ""real_pathdup_ret""]"
2904,2,"[""unsigned"", null]",[]
1188,1,"[""run_command_ret""]","[""strbuf_addstr_arg_ret""]"
1189,1,"[""strcmp_ret"", ""int"", ""strlen_ret""]",[]
1190,1,"[""finish_command_ret""]","[""finish_command_ret""]"
1191,1,"["" struct merge_options"", null, "" struct merge_options"", null, null]","["" struct merge_options"", null, null, null]"
1192,1,"[""flush_output_arg_ret"", null]","[""flush_output_arg_ret"", null, null]"
1193,1,"[""unmerged_cache_ret""]",[null]
1194,1,"[""ce_stage_ret""]","[""ce_stage_ret"", ""ce_namelen_ret"", null, null, ""ce_namelen_arg_ret"", null]"
3011,3,"[""unmerged_cache_ret""]",[]
1195,1,"[""strncmp_ret"", ""strlen_ret"", ""strlen_ret"", ""strlen_arg_ret"", ""strlen_ret""]","[""err_arg"", ""strncmp_arg_ret""]"
1196,1,"[""oid_eq_ret"", ""oid_eq_ret""]",[]
1197,1,"[""char""]","[""update_file_arg_ret"", ""char"", ""remove_file_from_cache_arg_ret"", ""char"", ""char"", ""unique_path_arg_ret"", ""unique_path_arg_ret"", ""remove_file_from_cache_arg_ret""]"
1198,1,"[""char""]","[""update_file_arg_ret"", ""char"", ""char"", ""char"", ""char"", ""remove_file_from_cache_arg_ret"", ""unique_path_arg_ret"", ""unique_path_arg_ret"", ""remove_file_from_cache_arg_ret""]"
1199,1,"[""char""]","[""update_file_arg_ret"", ""char"", ""remove_file_from_cache_arg_ret"", ""char"", ""char"", ""unique_path_arg_ret"", ""unique_path_arg_ret"", ""remove_file_from_cache_arg_ret"", ""unique_path_ret""]"
1200,1,"[""char""]","[""update_file_arg_ret"", ""char"", ""char"", ""char"", ""char"", ""remove_file_from_cache_arg_ret"", ""unique_path_arg_ret"", ""unique_path_arg_ret"", ""remove_file_from_cache_arg_ret"", ""unique_path_ret""]"
1201,1,"[""dir_in_way_ret""]","[""unique_path_arg_ret"", ""update_stages_arg"", null, ""unique_path_arg_ret"", ""unique_path_ret""]"
1202,1,"[""merge_file_special_markers_arg_ret"", null]","[""unique_path_arg_ret"", ""merge_file_special_markers_arg_ret"", ""unique_path_arg_ret"", ""unique_path_ret"", ""merge_file_special_markers_arg_ret"", ""unique_path_arg_ret"", ""unique_path_ret""]"
1203,1,"[""oid_eq_ret""]","[""update_file_flags_arg_ret"", ""was_tracked_arg_ret"", ""update_file_flags_arg_ret"", ""setup_rename_conflict_info_arg_ret"", ""update_file_flags_arg_ret"", ""setup_rename_conflict_info_arg_ret""]"
1204,1,"[""update_file_flags_arg_ret"", null]","[""merge_file_one_arg_ret"", ""merge_file_one_arg_ret""]"
1205,1,"[""update_file_flags_arg_ret"", null]","[""unique_path_arg_ret"", ""unique_path_ret""]"
1206,1,"[""oid_eq_ret"", ""merge_file_special_markers_arg_ret"", null, ""unsigned"", ""merge_file_special_markers_arg_ret"", null, ""int""]","[""merge_file_special_markers_arg_ret"", ""dir_in_way_arg_ret""]"
1207,1,"[""oid_eq_ret"", ""merge_file_special_markers_arg_ret"", null, ""unsigned"", ""merge_file_special_markers_arg_ret"", null, ""int""]","[""add_cacheinfo_arg_ret"", ""add_cacheinfo_arg_ret""]"
1208,1,"[""merge_file_special_markers_arg_ret"", null]","[""add_cacheinfo_arg_ret"", null, ""add_cacheinfo_arg_ret""]"
1209,1,"[""unsigned""]","[""unique_path_arg_ret"", ""unique_path_ret""]"
1210,1,"[""blob_unchanged_arg_ret""]","[""blob_unchanged_arg_ret"", ""blob_unchanged_arg_ret""]"
1211,1,"[""dir_in_way_ret"", ""S_ISGITLINK_ret""]","[""unique_path_arg_ret"", ""char"", ""unique_path_arg_ret"", ""char"", ""unique_path_arg_ret"", ""unique_path_ret""]"
1212,1,"[""dir_in_way_ret"", ""S_ISGITLINK_ret""]","[""update_file_arg_ret"", ""remove_file_from_cache_arg_ret""]"
1213,1,"["" struct stage_data"", null]",[]
1214,1,"[""oid_eq_ret""]","[""show_arg""]"
1215,1,"[""process_entry_arg_ret"", null]","[""get_renames_arg_ret"", null, ""int"", null]"
1216,1,"[""show_ret""]","[""show_arg_ret""]"
1217,1,"[""show_ret""]","[""Q__ret"", ""show_arg_ret"", ""commit_list_count_ret""]"
1218,1,"[""show_ret""]","[""show_arg_ret"", null]"
1219,1,"[""opendir_ret"", ""opendir_ret""]","[""opendir_arg_ret""]"
1220,1,"[""diff_opt_parse_ret""]","[""diff_opt_parse_arg_ret"", ""int""]"
1221,1,"[""ewah_read_mmap_arg""]",[]
1222,1,"[""ewah_read_mmap_ret"", ""unsigned long""]",[]
2906,2,"[""size_t"", "" struct index_state"", null]","[null, ""size_t"", "" struct index_state"", null]"
1223,1,"["" struct split_index"", null, "" struct split_index"", null]","["" struct split_index"", null, "" struct split_index"", null]"
1224,1,"[""copy_cache_entry_arg"", null, null]","[null, ""size_t""]"
1225,1,"[""ce_namelen_ret""]","[null, ""size_t""]"
1226,1,"[""ce_namelen_ret""]","[""unsigned int""]"
1227,1,"[""split_cmdline_ret""]","[""split_cmdline_strerror_ret""]"
3228,8,"["" struct tempfile"", null]",[]
1228,1,"["" struct tempfile"", null, null]",[]
1229,1,"[""adjust_shared_perm_ret""]","[""prepare_tempfile_object_arg_ret"", null, null]"
1230,1,"[""mks_tempfile_m_ret""]","[""strbuf_release_arg"", null]"
1231,1,"[""close_tempfile_arg"", null]",[]
1232,1,"[""color_parse_mem_ret""]","[""int_ret"", ""color_parse_mem_arg_ret""]"
3169,7,"[""start_active_slot_ret""]",[null]
2907,2,"[""find_sha1_pack_ret""]","[""oid_to_hex_ret"", null]"
1233,1,"[""find_sha1_pack_ret""]","[""sha1_to_hex_ret"", null]"
